Keyword;Cluster;Intent;Target page;Priority
ai video generator;A. Head terms;Commercial;/en;P3
ai video maker;A. Head terms;Commercial;/en;P3
text to video ai;A. Head terms;Commercial;/en;P3
faceless video generator;A. Head terms;Commercial;/en;P2
ai video generator free;A. Head terms;Trial;/en;P3
short form video generator;A. Head terms;Commercial;/en;P2
ai video for linkedin;B. Format and network;Commercial;/en/fonctionnalites;P1
how to make tiktoks without filming yourself;B. Format and network;Informational;/en/blog;P1
faceless youtube shorts channel;B. Format and network;Informational;/en/blog;P1
tiktok video generator ai;B. Format and network;Commercial;/en/fonctionnalites;P2
youtube shorts generator;B. Format and network;Commercial;/en/fonctionnalites;P2
instagram reels ai generator (blocked: Meta);B. Format and network;Commercial;/en/fonctionnalites;P2
vertical video maker 9:16;B. Format and network;Technical;/en/fonctionnalites;P3
ai script generator for videos;C. Features;Commercial;/en/fonctionnalites;P1
automatic subtitles for videos;C. Features;Commercial;/en/fonctionnalites;P1
add captions to video automatically;C. Features;Commercial;/en/fonctionnalites;P1
animated captions for tiktok;C. Features;Commercial;/en/fonctionnalites;P1
ai voiceover generator;C. Features;Commercial;/en/fonctionnalites;P2
free ai voice over for videos;C. Features;Trial;/en/fonctionnalites;P2
automatic video editing ai;C. Features;Commercial;/en/fonctionnalites;P2
royalty free music for videos;C. Features;Informational;/en/fonctionnalites;P3
auto post to tiktok;D. Publishing automation;Commercial;/en/fonctionnalites;P1
schedule tiktok posts;D. Publishing automation;Commercial;/en/fonctionnalites;P1
post to multiple social networks at once;D. Publishing automation;Commercial;/en/fonctionnalites;P1
social media automation for small business;D. Publishing automation;Commercial;/en/fonctionnalites;P2
social media scheduling tool;D. Publishing automation;Commercial;/en/fonctionnalites;P3
create meta ads from video;E. Ads;Commercial;/en/fonctionnalites;P1
facebook ad creator ai;E. Ads;Commercial;/en/fonctionnalites;P2
ai video ads generator;E. Ads;Commercial;/en/fonctionnalites;P2
lead generation facebook ads small business;E. Ads;Informational;/en/fonctionnalites;P2
social media videos for restaurants;F. Industries;Commercial;/en/cas-usage/restaurant;P1
restaurant content ideas for instagram;F. Industries;Informational;/en/cas-usage/restaurant;P1
real estate video marketing;F. Industries;Commercial;/en/cas-usage/immobilier;P1
real estate listing video maker;F. Industries;Commercial;/en/cas-usage/immobilier;P1
social media for personal trainers;F. Industries;Commercial;/en/cas-usage/coach-sportif;P1
content ideas for fitness coaches;F. Industries;Informational;/en/cas-usage/coach-sportif;P1
product video maker for shopify;F. Industries;Commercial;/en/cas-usage/e-commerce;P1
ecommerce video ads maker;F. Industries;Commercial;/en/cas-usage/e-commerce;P1
video marketing for small business;F. Industries;Informational;/en/blog;P2
invideo alternative;G. Alternatives;Comparison;/en/alternatives/invideo;P1
opus clip alternative;G. Alternatives;Comparison;/en/alternatives/opus-clip;P1
submagic alternative;G. Alternatives;Comparison;/en/alternatives/submagic;P1
ai video generator with auto posting;G. Alternatives;Comparison;/en/alternatives;P1
pictory alternative;G. Alternatives;Comparison;/en/alternatives/pictory;P2
fliki alternative;G. Alternatives;Comparison;/en/alternatives/fliki;P2
best ai video generator for small business;G. Alternatives;Comparison;/en/alternatives;P2
how to make videos without showing your face;H. Long tail;Informational;/en/blog;P1
how to get more views on tiktok;H. Long tail;Informational;/en/blog;P1
how to write a script for a short video;H. Long tail;Informational;/en/blog;P1
how to post the same video on tiktok and youtube;H. Long tail;Informational;/en/blog;P1
best time to post on tiktok;H. Long tail;Informational;/en/blog;P2
how often should you post on tiktok;H. Long tail;Informational;/en/blog;P2
how long should a tiktok video be;H. Long tail;Informational;/en/blog;P2
social media content calendar for small business;H. Long tail;Informational;/en/blog;P2
how much does video content cost;H. Long tail;Informational;/en/blog;P3
vidcica;I. Brand;Brand;/en;P1
vidcica review;I. Brand;Brand;/en;P2
vidcica pricing;I. Brand;Brand;/en/tarifs;P2
